City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,79.52,66,1,6.93,PF,2021-01-16 03:10:03
1,Mataura,-46.1927,168.8643,73.0,63,0,8.99,NZ,2021-01-16 03:10:04
2,Hermanus,-34.4187,19.2345,57.0,93,2,8.63,ZA,2021-01-16 03:10:04
3,Udachnyy,66.4167,112.4,-46.73,75,69,5.93,RU,2021-01-16 03:10:04
4,Qaanaaq,77.484,-69.3632,9.16,91,98,1.59,GL,2021-01-16 03:10:04
5,Nikolskoye,59.7035,30.7861,1.0,78,0,2.24,RU,2021-01-16 03:10:04
6,Tasiilaq,65.6145,-37.6368,32.0,86,75,13.8,GL,2021-01-16 03:10:04
7,Constitucion,-35.3333,-72.4167,54.63,76,0,13.24,CL,2021-01-16 03:09:16
8,Puerto Ayora,-0.7393,-90.3518,73.99,95,86,1.01,EC,2021-01-16 03:10:05
9,Sitka,57.0531,-135.33,42.8,81,90,4.61,US,2021-01-16 03:10:05
10,Witu,-2.3889,40.4382,73.4,94,1,2.19,KE,2021-01-16 03:10:05
11,Byron Bay,-28.65,153.6167,82.4,65,75,13.8,AU,2021-01-16 03:10:05
12,Wanaka,-44.7,169.15,78.51,24,2,7.96,NZ,2021-01-16 03:09:57
13,Geraldton,-28.7667,114.6,95.0,28,0,29.93,AU,2021-01-16 03:10:05
14,Mar Del Plata,-38.0023,-57.5575,70.0,94,0,3.44,AR,2021-01-16 03:07:29
15,Leningradskiy,69.3833,178.4167,-13.95,88,100,6.49,RU,2021-01-16 03:10:05
16,Husavik,66.0449,-17.3389,39.2,75,90,3.44,IS,2021-01-16 03:10:05
17,Kang,-23.6752,22.7876,73.45,65,47,8.43,BW,2021-01-16 03:10:06
18,Guangyuan,32.442,105.823,46.99,63,100,11.99,CN,2021-01-16 03:10:06
19,Bredasdorp,-34.5322,20.0403,64.4,72,0,10.36,ZA,2021-01-16 03:10:06
20,Tuktoyaktuk,69.4541,-133.0374,-13.0,77,40,17.27,CA,2021-01-16 03:10:06
21,Tres Arroyos,-38.3739,-60.2798,68.38,87,1,7.34,AR,2021-01-16 03:10:06
22,Kaitangata,-46.2817,169.8464,66.99,78,16,8.01,NZ,2021-01-16 03:10:06
23,Mahebourg,-20.4081,57.7,78.8,89,20,6.91,MU,2021-01-16 03:10:06
24,Trat,12.5,102.5,86.0,78,0,5.75,TH,2021-01-16 03:10:06
25,Tateyama,34.9833,139.8667,63.0,48,0,8.99,JP,2021-01-16 03:10:06
26,Kununurra,-15.7667,128.7333,96.8,52,22,6.91,AU,2021-01-16 03:10:07
27,Hobart,-42.8794,147.3294,60.8,51,75,13.8,AU,2021-01-16 03:10:07
28,Pochutla,15.7432,-96.4661,75.2,73,40,1.25,MX,2021-01-16 03:10:07
29,Akdepe,42.0551,59.3788,39.2,70,0,11.5,TM,2021-01-16 03:10:07
30,Ribeira Grande,38.5167,-28.7,60.94,83,26,7.67,PT,2021-01-16 03:10:07
31,Shu,43.5983,73.7614,16.93,81,0,2.26,KZ,2021-01-16 03:10:07
32,Bonthe,7.5264,-12.505,76.75,89,8,3.85,SL,2021-01-16 03:10:07
33,Lorengau,-2.0226,147.2712,85.93,68,100,8.21,PG,2021-01-16 03:10:07
34,Airai,-8.9266,125.4092,66.97,100,97,1.79,TL,2021-01-16 03:10:08
35,Iqaluit,63.7506,-68.5145,15.8,79,90,11.5,CA,2021-01-16 03:10:08
36,Barrow,71.2906,-156.7887,-9.4,70,90,16.11,US,2021-01-16 03:10:08
37,Castro,-24.7911,-50.0119,63.75,97,98,8.55,BR,2021-01-16 03:10:08
38,Jamestown,42.097,-79.2353,34.0,93,90,7.47,US,2021-01-16 03:10:08
39,Ponta Do Sol,32.6667,-17.1,53.01,62,29,3.0,PT,2021-01-16 03:10:09
40,Faanui,-16.4833,-151.75,81.81,74,27,11.68,PF,2021-01-16 03:10:09
41,Hithadhoo,-0.6,73.0833,82.22,75,87,14.29,MV,2021-01-16 03:10:09
42,Sunnyside,46.3237,-120.0087,37.0,86,1,1.25,US,2021-01-16 03:10:09
43,Hilo,19.7297,-155.09,78.8,61,1,10.36,US,2021-01-16 03:10:09
44,Zelenoborsk,61.4669,64.0333,-11.36,89,1,3.33,RU,2021-01-16 03:10:09
45,Flinders,-34.5833,150.8552,78.01,36,0,1.01,AU,2021-01-16 03:10:09
46,Albany,42.6001,-73.9662,39.99,71,100,8.05,US,2021-01-16 03:08:42
47,Codrington,-38.2667,141.9667,60.82,70,100,17.49,AU,2021-01-16 03:10:09
48,Changde,29.0464,111.6783,48.92,46,98,14.03,CN,2021-01-16 03:10:09
49,Tiksi,71.6872,128.8694,-9.31,91,100,5.12,RU,2021-01-16 03:10:10
50,Souillac,-20.5167,57.5167,78.8,89,20,6.91,MU,2021-01-16 03:10:10
51,Busselton,-33.65,115.3333,75.99,44,0,7.0,AU,2021-01-16 03:10:10
52,Puerto Maldonado,-12.6,-69.1833,73.78,96,99,1.79,PE,2021-01-16 03:10:10
53,Butaritari,3.0707,172.7902,81.32,78,2,20.69,KI,2021-01-16 03:10:10
54,Meiktila,20.8667,95.8667,71.76,45,4,7.0,MM,2021-01-16 03:09:31
55,Narsaq,60.9167,-46.05,23.0,54,90,5.75,GL,2021-01-16 03:10:10
56,Davila,18.4726,120.5763,82.4,57,20,5.75,PH,2021-01-16 03:10:10
57,Victoria,22.2855,114.1577,69.01,51,77,1.01,HK,2021-01-16 03:08:54
58,Hofn,64.2539,-15.2082,41.02,93,100,24.29,IS,2021-01-16 03:10:11
59,Santa Ines,-3.6667,-45.38,73.27,96,100,2.93,BR,2021-01-16 03:10:11
60,Grand Gaube,-20.0064,57.6608,82.99,79,8,3.0,MU,2021-01-16 03:10:11
61,Tornio,65.8481,24.1466,14.0,85,90,2.3,FI,2021-01-16 03:10:11
62,Caravelas,-17.7125,-39.2481,75.52,90,100,6.53,BR,2021-01-16 03:10:11
63,Montrose,38.4166,-108.2673,28.0,54,2,1.99,US,2021-01-16 03:10:12
64,Upernavik,72.7868,-56.1549,16.21,96,100,8.72,GL,2021-01-16 03:10:12
65,Ardakan,32.31,54.0175,37.4,38,0,2.3,IR,2021-01-16 03:10:12
66,Brae,60.3964,-1.353,42.8,70,75,32.21,GB,2021-01-16 03:10:12
67,Saskylakh,71.9167,114.0833,-19.48,86,100,13.87,RU,2021-01-16 03:10:12
68,Arraial Do Cabo,-22.9661,-42.0278,75.94,88,69,21.52,BR,2021-01-16 03:10:12
69,Sao Filipe,14.8961,-24.4956,71.8,70,100,10.33,CV,2021-01-16 03:10:12
70,Bluff,-46.6,168.3333,73.0,63,10,8.99,NZ,2021-01-16 03:10:13
71,Ostrovnoy,68.0531,39.5131,12.6,95,87,7.67,RU,2021-01-16 03:10:13
72,Palmer,42.1584,-72.3287,39.2,60,90,14.97,US,2021-01-16 03:10:13
73,Kapaa,22.0752,-159.319,77.0,73,1,4.61,US,2021-01-16 03:10:13
74,Bambous Virieux,-20.3428,57.7575,82.99,89,20,6.91,MU,2021-01-16 03:10:13
75,Provideniya,64.3833,-173.3,10.13,93,100,5.39,RU,2021-01-16 03:10:14
76,Kuopio,62.8924,27.677,-5.8,84,0,1.14,FI,2021-01-16 03:10:14
77,Hsinchu,24.8036,120.9686,71.01,52,0,7.0,TW,2021-01-16 03:10:14
78,Aklavik,68.2191,-135.0107,-7.6,77,100,6.91,CA,2021-01-16 03:10:14
79,San Patricio,28.017,-97.5169,50.0,57,1,6.91,US,2021-01-16 03:10:15
80,Frolovo,49.7713,43.6622,15.89,97,100,11.59,RU,2021-01-16 03:10:15
81,Bethel,41.3712,-73.414,39.2,81,90,13.8,US,2021-01-16 03:10:15
82,Pangnirtung,66.1451,-65.7125,2.73,89,100,2.57,CA,2021-01-16 03:10:16
83,Mathathane,-22.2687,28.7495,75.58,78,100,4.34,BW,2021-01-16 03:10:16
84,Kenora,49.8167,-94.4337,21.2,86,90,13.8,CA,2021-01-16 03:09:34
85,Isla Mujeres,21.2311,-86.731,73.99,83,75,5.75,MX,2021-01-16 03:10:16
86,Port Elizabeth,-33.918,25.5701,64.4,88,20,19.57,ZA,2021-01-16 03:06:40
87,Buala,-8.145,159.5921,85.84,66,100,8.28,SB,2021-01-16 03:10:17
88,Saldanha,-33.0117,17.9442,62.6,94,0,4.61,ZA,2021-01-16 03:10:17
89,New Norfolk,-42.7826,147.0587,60.01,69,92,3.0,AU,2021-01-16 03:10:17
90,Chokurdakh,70.6333,147.9167,-6.39,91,100,9.89,RU,2021-01-16 03:10:17
91,Santa Vitoria Do Palmar,-33.5189,-53.3681,72.41,86,100,12.88,BR,2021-01-16 03:10:17
92,Lamar,33.6668,-95.5836,41.0,41,1,13.8,US,2021-01-16 03:10:17
93,Sao Joao Da Barra,-21.6403,-41.0511,76.06,87,40,13.51,BR,2021-01-16 03:10:18
94,Sinjar,36.3209,41.8754,44.87,77,0,7.74,IQ,2021-01-16 03:10:18
95,Punta Arenas,-53.15,-70.9167,53.01,87,0,8.05,CL,2021-01-16 03:05:59
96,Yellowknife,62.456,-114.3525,10.4,85,90,13.8,CA,2021-01-16 03:10:18
97,Mangaratiba,-22.9597,-44.0406,77.0,83,0,2.3,BR,2021-01-16 03:10:19
