City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,79.52,-23.1203,-134.9692,Pension Maro'i
11,Byron Bay,AU,82.4,-28.65,153.6167,Backpackers Inn on the Beach
12,Wanaka,NZ,78.51,-44.7,169.15,Wanaka Homestead Lodge and Cottages
23,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Trat,TH,86.0,12.5,102.5,สวนหนิง-อัศ
28,Pochutla,MX,75.2,15.7432,-96.4661,Hotel Posada San Jose
32,Bonthe,SL,76.75,7.5264,-12.505,Bonthe Holiday Village
33,Lorengau,PG,85.93,-2.0226,147.2712,Lorengau Harbourside Hotel
40,Faanui,PF,81.81,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,Hithadhoo,MV,82.22,-0.6,73.0833,Scoop Guest House
43,Hilo,US,78.8,19.7297,-155.09,Hilo Hawaiian Hotel
45,Flinders,AU,78.01,-34.5833,150.8552,Shellharbour Resort & Conference Centre
50,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
51,Busselton,AU,75.99,-33.65,115.3333,Observatory Guest House
53,Butaritari,KI,81.32,3.0707,172.7902,Isles Sunset Lodge
56,Davila,PH,82.4,18.4726,120.5763,Blue Ridge Beach Resort
60,Grand Gaube,MU,82.99,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
62,Caravelas,BR,75.52,-17.7125,-39.2481,Pousada dos Navegantes
68,Arraial Do Cabo,BR,75.94,-22.9661,-42.0278,Pousada Porto Praia
73,Kapaa,US,77.0,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
74,Bambous Virieux,MU,82.99,-20.3428,57.7575,Casa Tia Villa
83,Mathathane,BW,75.58,-22.2687,28.7495,Selepswe Resort
87,Buala,SB,85.84,-8.145,159.5921,Maringe Lagoon Lodge
93,Sao Joao Da Barra,BR,76.06,-21.6403,-41.0511,Pousada Porto De Canoas
97,Mangaratiba,BR,77.0,-22.9597,-44.0406,Portobello Resort & Safari
99,Avarua,CK,86.0,-21.2078,-159.775,Paradise Inn
100,Mbini,GQ,77.0,1.574,9.6134,
103,Vaini,TO,86.0,-21.2,-175.2,Keleti Beach Resort
107,Cayenne,GF,78.8,4.9333,-52.3333,Hôtel Le Dronmi
113,Sinnamary,GF,77.41,5.3833,-52.95,ALETHEIA Appartement Sinnamary
115,Bengkulu,ID,83.97,-3.8004,102.2655,Grage Hotel Bengkulu
118,Fuerte Olimpo,PY,77.31,-21.0415,-57.8738,Hospedaje DAMI
119,Georgetown,MY,82.4,5.4112,100.3354,Cititel Penang
120,Saint-Philippe,RE,78.8,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Kaeo,NZ,80.01,-35.1,173.7833,Bushido Lodge
125,Soyo,AO,77.81,-6.1349,12.3689,Hotel Mpampa
130,Sabang,ID,79.25,5.8933,95.3214,Hotel Citra
132,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
137,Kavieng,PG,76.78,-2.5744,150.7967,Nusa Island Retreat
140,Tual,ID,83.66,-5.6667,132.75,Grand Vilia Hotel
146,Carnarvon,AU,86.0,-24.8667,113.6333,Hospitality Carnarvon
153,Cururupu,BR,75.0,-1.8283,-44.8683,Pousada Través'cia
155,Dingle,PH,78.62,10.9995,122.6711,SEGAYA PROPERTY
162,Tautira,PF,84.2,-17.7333,-149.15,Pension Oaoa
163,Isangel,VU,86.0,-19.55,169.2667,Volcano Sea View Tree House
172,Fare,PF,81.68,-16.7,-151.0167,Maitai Lapita Village Huahine
174,Vao,NC,80.13,-22.6667,167.4833,Hotel Kou-Bugny
175,Axim,GH,78.4,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
176,Beloha,MG,77.02,-25.1667,45.05,
178,Batemans Bay,AU,77.0,-35.7167,150.1833,Batemans Bay Marina Resort
182,Luwuk,ID,82.99,-0.9516,122.7875,Hotel Santika Luwuk
184,Grand-Lahou,CI,78.28,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
186,Natal,BR,80.6,-5.795,-35.2094,Villa Park Hotel | Natal
188,Japura,ID,84.76,-0.3167,102.35,Rumah mbah Jamah
189,Mahibadhoo,MV,80.98,3.7833,72.9667,Omadhoo Inn
190,Kalmunai,LK,79.93,7.4167,81.8167,VS Villa
198,Pedernales,DO,76.39,18.0384,-71.744,Hotel Costa Marina
202,Marawi,PH,82.0,7.9986,124.2928,Derogongan Residence
203,Gladstone,AU,86.0,-23.85,151.25,Highpoint International
206,Cockburn Town,TC,77.0,21.4612,-71.1419,Osprey Beach Hotel
212,Puerto Leguizamo,CO,75.87,-0.1934,-74.7819,la casona de juancho
217,Cidreira,BR,76.68,-30.1811,-50.2056,Hotel Castelo
229,Farafangana,MG,78.87,-22.8167,47.8333,Miarina
235,Pak Phanang,TH,84.2,8.3511,100.20200000000001,Green Park Inn Hotel
236,Port Moresby,PG,86.0,-9.4431,147.1797,Lamana Hotel
238,Makakilo City,US,82.4,21.3469,-158.0858,Marriott's Ko Olina Beach Club
240,Bathsheba,BB,77.0,13.2167,-59.5167,Atlantis Hotel
246,Maragogi,BR,77.38,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
252,Coyoles Central,HN,75.2,15.4,-86.6667,Mexico alfa charly sierra
265,Tabou,CI,77.31,4.423,-7.3528,hotêl doufoulougou
276,Sola,VU,83.64,-13.8833,167.55,Leumerus Bungalows
277,Te Anau,NZ,75.04,-45.4167,167.7167,Kingsgate Hotel Te Anau
284,Moindou,NC,86.0,-21.6924,165.67700000000002,Gite de la RYAWA
292,Vila Velha,BR,75.0,-20.3297,-40.2925,Hotel Vitória Palace
294,Kualakapuas,ID,80.6,-3.0091,114.3876,Guest House Izonk
300,Mitsamiouli,KM,80.87,-11.3847,43.2844,Foyer ADM
303,Jacqueville,CI,78.8,5.2052,-4.4146,Hotel Le Martin Pecheur
304,Nanakuli,US,82.0,21.3906,-158.1547,Camp Pālehua
307,Kavaratti,IN,82.0,10.5669,72.642,Hotels in Lakshadweep Islands
310,Antalaha,MG,76.91,-14.9003,50.2788,Hotel Vitasoa
314,Touros,BR,77.0,-5.1989,-35.4608,INN NEW HORIZON
315,Sibu,MY,78.8,2.3,111.8167,RH HOTEL (4 Star)
316,Caucaia,BR,81.0,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
317,Padang,ID,85.84,-0.9492,100.3543,Mercure Padang
319,Tairua,NZ,75.06,-37.0167,175.85,Pacific Harbour Villas
335,Saint-Pierre,RE,80.6,-21.3393,55.4781,Lindsey Hôtel
336,Ugoofaaru,MV,81.01,5.6667,73.0,Ungoofaaru Inn
337,Puerto Escondido,MX,77.0,15.85,-97.0667,Aldea del Bazar Hotel and Spa
342,Port Blair,IN,80.2,11.6667,92.75,Welcomhotel Bay Island Port Blair
349,Poso,ID,85.64,-1.3959,120.7524,Hotel 77 Poso
358,Cap Malheureux,MU,82.99,-19.9842,57.6142,Pereybere Hotel & Spa
372,Tevaitoa,PF,81.7,-16.7833,-151.5,Hôtel Raiatea Lodge
373,La Victoria,VE,78.8,10.2184,-67.3302,Hotel Hacienda El Recreo
381,Prachuap Khiri Khan,TH,77.0,12.2167,99.75,สมบัติยาย
382,Aquiraz,BR,80.6,-3.9014,-38.3911,Pousada Rua Camurupim
389,Vanimo,PG,83.57,-2.6741,141.3028,Vahmoneh Lodge Vanimo
397,Waingapu,ID,81.14,-9.6567,120.2641,Pondok Wisata Elim
402,Manado,ID,78.8,1.4869999999999999,124.8455,Aryaduta Hotel
403,Inverell,AU,84.99,-29.7833,151.1167,Sapphire City Motor Inn
404,Gizo,SB,85.55,-8.103,156.8419,Imagination Island
405,Ransang,PH,84.04,8.9603,117.5828,
409,Boueni,YT,77.0,-12.9025,45.0761,The feet in water
411,Nabire,ID,81.7,-3.3667,135.4833,Hotel Nusantara Nabire
419,Lakatoro,VU,85.98,-16.0999,167.4164,Lakatoro Palm Lodge
423,Miri,MY,75.2,4.4148,114.0089,"Mega Hotel, Miri"
424,Kupang,ID,87.8,-10.1667,123.5833,Hotel On The Rock by Prasanthi
434,Cabedelo,BR,75.2,-6.9811,-34.8339,Hotel Pigalle
437,Manuk Mangkaw,PH,81.43,4.8,119.85,
438,Carutapera,BR,77.63,-1.195,-46.02,Lidera
444,Alice Springs,AU,84.2,-23.7,133.8833,Desert Palms Alice Springs
454,Salug,PH,85.26,8.1147,122.7833,Jesser's House
456,Samarai,PG,86.92,-10.6167,150.6667,Nuli Sapi
466,The Valley,AI,77.0,18.217,-63.0578,CeBlue Villas & Beach Resort
467,Patawag,PH,84.04,8.1064,122.6208,Banigan Beach
472,Namatanai,PG,83.84,-3.6667,152.4333,Namatanai Hotel
475,Labuhan,ID,83.08,-6.8844,112.2051,PT PPI Lamongan Tambak C
476,Sri Aman,MY,78.8,1.2376,111.4621,Seri Simanggang Hotel
485,Gorontalo,ID,85.12,0.5412,123.0595,Maqna Hotel by Prasanthi
486,Prado,BR,76.21,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
488,Santa Maria,BR,78.8,-29.6842,-53.8069,Hotel Morotin
489,Kawerau,NZ,80.01,-38.1,176.7,Tui Cottage
490,Alofi,NU,87.8,-19.0595,-169.9187,Taloa Heights
491,Hervey Bay,AU,87.01,-25.2986,152.8535,Shelly Bay Resort
494,Honiara,SB,83.1,-9.4333,159.95,Heritage Park Hotel
497,Nieuw Amsterdam,SR,77.0,5.8833,-55.0833,Hotel Stardust
499,Oriximina,BR,78.62,-1.7656,-55.8661,Pousada Tia Amélia
505,Sibolga,ID,85.24,1.7427,98.7792,Hotel Syariah CN Darussalam
507,Vangaindrano,MG,77.34,-23.35,47.6,Hotel Fanilo
511,Kanniyakumari,IN,79.29,8.0833,77.5667,Sparsa
519,Ballina,AU,82.4,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
525,Yenagoa,NG,75.36,4.9247,6.2642,Aridolf Resort Wellness and Spa
529,Panama City,PA,78.8,8.9936,-79.5197,Trump International Hotel & Tower Panama
534,San Luis,AR,76.73,-33.295,-66.3356,Huarpes Hotel
545,Kudahuvadhoo,MV,81.07,2.6708,72.8944,Niyama Private Islands Maldives
546,Ulladulla,AU,75.99,-35.35,150.4667,Sandpiper Motel
550,Bhigvan,IN,75.09,18.3167,74.7667,Hotel Sagar
553,Gamba,GA,76.64,-2.65,10.0,
555,Dubbo,AU,75.2,-32.25,148.6167,Comfort Inn Blue Lagoon
558,Banda Aceh,ID,80.8,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
563,Luganville,VU,85.73,-15.5333,167.1667,The Espiritu Hotel
576,Port Macquarie,AU,84.99,-31.4333,152.9167,Rydges Port Macquarie
578,Camacari,BR,80.6,-12.6975,-38.3242,Sítio Blasi
587,Talavera,PH,82.4,15.6167,120.9333,R&G's Resort
593,Sambava,MG,77.52,-14.2667,50.1667,Melrose
594,Richards Bay,ZA,77.36,-28.783,32.0377,BON Hotel Waterfront Richards Bay
597,Sao Jose Da Coroa Grande,BR,77.04,-8.8978,-35.1478,Crôa Mares Hotel
608,Gondanglegi,ID,84.85,-7.7479,112.0132,Gg. Munasir Homestay
610,Quatre Cocos,MU,82.99,-20.2078,57.7625,Emeraude Beach Attitude Hotel
611,Pringsewu,ID,82.83,-5.3582,104.9744,Urban Style by Front One
612,Kirakira,SB,81.75,-10.4544,161.9205,SanBiz Lodge
618,San Policarpo,PH,79.27,12.1791,125.5072,JM Lodge
625,Ca Mau,VN,79.66,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
629,Itarema,BR,78.31,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
631,Manokwari,ID,83.97,-0.8667,134.0833,Swiss Belhotel Manokwari
634,Conde,BR,75.2,-7.2597,-34.9075,Pousada Beija Flor
636,Anloga,GH,78.8,5.7947,0.8973,Pin Drop Hotel
638,San Andres,CO,80.6,12.5847,-81.7006,Hotel Arena Blanca
648,Port-Gentil,GA,79.3,-0.7193,8.7815,Fengshui Residence
651,San Onofre,CO,76.62,9.7359,-75.5263,Hotel Sinai
653,Mareeba,AU,89.01,-17.0,145.4333,Trinity Plains Tourist Park
654,Saint-Joseph,RE,80.6,-21.3667,55.6167,"""Plantation Bed and Breakfast"
655,Atambua,ID,78.98,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
663,Cairns,AU,89.01,-16.9167,145.7667,Mantra Trilogy Cairns
669,Poum,NC,83.73,-20.2333,164.0167,Gîte kajeon
