City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Moree,-29.4667,149.85,86.0,26,0,13.8,AU,2021-01-10 05:13:04
1,Lavrentiya,65.5833,-171.0,-11.74,85,3,7.56,RU,2021-01-10 05:13:04
2,Rikitea,-23.1203,-134.9692,78.73,76,100,15.08,PF,2021-01-10 05:13:04
3,Nantucket,41.2835,-70.0995,35.6,80,90,17.27,US,2021-01-10 05:13:04
4,Butaritari,3.0707,172.7902,80.91,82,100,19.37,KI,2021-01-10 05:13:04
5,Lebu,-37.6167,-73.65,53.83,91,31,8.25,CL,2021-01-10 05:13:04
6,Mataura,-46.1927,168.8643,57.99,82,97,21.99,NZ,2021-01-10 05:13:04
7,Klaksvik,62.2266,-6.589,30.2,86,75,13.8,FO,2021-01-10 05:13:04
8,Freeport,40.6576,-73.5832,34.0,47,1,16.11,US,2021-01-10 05:08:41
9,Hilo,19.7297,-155.09,73.4,73,20,4.61,US,2021-01-10 05:13:04
10,Vao,-22.6667,167.4833,80.37,85,100,11.59,NC,2021-01-10 05:11:33
11,Castro,-24.7911,-50.0119,63.86,97,91,6.53,BR,2021-01-10 05:13:05
12,Katobu,-4.9408,122.5276,90.79,56,59,4.45,ID,2021-01-10 05:13:05
13,Ushuaia,-54.8,-68.3,44.6,87,20,16.11,AR,2021-01-10 05:12:08
14,Erdenet,49.0333,104.0833,-4.36,85,54,5.35,MN,2021-01-10 05:13:05
15,East London,-33.0153,27.9116,69.8,78,75,9.22,ZA,2021-01-10 05:12:21
16,Robertsport,6.7533,-11.3686,79.52,82,11,9.64,LR,2021-01-10 05:13:05
17,Guerrero Negro,27.9769,-114.0611,58.19,83,0,7.96,MX,2021-01-10 05:13:06
18,Skibbereen,51.55,-9.2667,33.8,86,20,5.75,IE,2021-01-10 05:13:06
19,Golden,39.7555,-105.2211,30.0,93,90,6.91,US,2021-01-10 05:13:06
20,Faanui,-16.4833,-151.75,81.18,73,41,11.21,PF,2021-01-10 05:13:06
21,Manzil Salim,35.8567,8.4765,57.2,47,20,6.91,TN,2021-01-10 05:13:07
22,Tasiilaq,65.6145,-37.6368,15.8,57,75,3.44,GL,2021-01-10 05:13:07
23,Punta Arenas,-53.15,-70.9167,44.6,81,90,6.91,CL,2021-01-10 05:13:07
24,Vanimo,-2.6741,141.3028,84.78,70,100,4.81,PG,2021-01-10 05:13:07
25,Caravelas,-17.7125,-39.2481,76.44,86,6,8.32,BR,2021-01-10 05:13:07
26,Anadyr,64.75,177.4833,-31.0,68,0,8.95,RU,2021-01-10 05:13:08
27,Puerto Ayora,-0.7393,-90.3518,73.99,92,51,5.01,EC,2021-01-10 05:13:08
28,Bambous Virieux,-20.3428,57.7575,82.0,89,75,9.22,MU,2021-01-10 05:13:08
29,Jamestown,42.097,-79.2353,28.0,86,1,5.75,US,2021-01-10 05:13:08
30,Kavaratti,10.5669,72.642,82.9,74,50,9.98,IN,2021-01-10 05:13:08
31,Georgetown,5.4112,100.3354,87.8,58,20,10.36,MY,2021-01-10 05:10:28
32,Dzilam Gonzalez,21.2833,-88.9333,65.26,80,87,3.06,MX,2021-01-10 05:13:09
33,Avarua,-21.2078,-159.775,82.4,57,3,10.36,CK,2021-01-10 05:12:28
34,Oranjemund,-28.55,16.4333,61.95,86,10,14.52,NA,2021-01-10 05:13:09
35,Qaanaaq,77.484,-69.3632,-1.28,76,0,5.82,GL,2021-01-10 05:13:09
36,Tessalit,20.1986,1.0114,71.33,20,0,11.68,ML,2021-01-10 05:13:09
37,Hambantota,6.1241,81.1185,82.4,94,75,1.14,LK,2021-01-10 05:13:09
38,Tekeli,44.83,78.8239,24.33,79,0,9.48,KZ,2021-01-10 05:13:09
39,Abalak,58.1286,68.5944,-13.4,90,82,5.23,RU,2021-01-10 05:13:09
40,Cabo San Lucas,22.8909,-109.9124,62.6,51,1,4.32,MX,2021-01-10 05:09:48
41,Comodoro Rivadavia,-45.8667,-67.5,57.2,62,0,5.75,AR,2021-01-10 05:13:10
42,Sukumo,32.9333,132.7333,39.15,76,96,12.41,JP,2021-01-10 05:13:10
43,Hermanus,-34.4187,19.2345,62.01,93,100,11.9,ZA,2021-01-10 05:13:10
44,Bara,10.3744,10.7288,68.05,25,75,7.56,NG,2021-01-10 05:13:11
45,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,1,11.5,CA,2021-01-10 05:13:11
46,Maceio,-9.6658,-35.7353,73.4,94,0,4.61,BR,2021-01-10 05:13:11
47,Bredasdorp,-34.5322,20.0403,64.4,72,99,3.44,ZA,2021-01-10 05:13:11
48,Saint-Philippe,-21.3585,55.7679,82.4,65,0,5.75,RE,2021-01-10 05:13:11
49,Yerbogachen,61.2767,108.0108,-8.63,90,100,2.01,RU,2021-01-10 05:13:11
50,Villa Carlos Paz,-31.4241,-64.4978,73.0,88,0,8.05,AR,2021-01-10 05:13:11
51,Chuy,-33.6971,-53.4616,65.77,89,13,6.6,UY,2021-01-10 05:13:12
52,Busselton,-33.65,115.3333,73.99,59,98,10.0,AU,2021-01-10 05:13:12
53,Torbay,47.6666,-52.7314,30.0,100,20,3.44,CA,2021-01-10 05:13:12
54,Pevek,69.7008,170.3133,-23.75,88,99,4.32,RU,2021-01-10 05:13:12
55,Phalaborwa,-23.943,31.1411,75.2,83,48,2.3,ZA,2021-01-10 05:13:12
56,Karratha,-20.7377,116.8463,106.41,15,14,14.92,AU,2021-01-10 05:13:12
57,Lydenburg,-25.0978,30.4597,72.0,88,26,0.92,ZA,2021-01-10 05:13:12
58,Nikolskoye,59.7035,30.7861,6.01,85,0,2.24,RU,2021-01-10 05:13:12
59,Antalaha,-14.9003,50.2788,81.34,70,1,1.92,MG,2021-01-10 05:11:22
60,Wolfsburg,52.4333,10.8,32.0,100,90,4.43,DE,2021-01-10 05:13:12
61,Montoro,38.0241,-4.3834,39.0,93,90,5.75,ES,2021-01-10 05:13:13
62,Ust-Kuyga,70.0167,135.6,-23.15,85,100,2.01,RU,2021-01-10 05:13:13
63,Severo-Kurilsk,50.6789,156.125,22.15,86,98,21.79,RU,2021-01-10 05:13:13
64,Toamasina,-18.1667,49.3833,84.2,70,40,4.61,MG,2021-01-10 05:13:13
65,San Quintin,30.4833,-115.95,56.46,83,3,2.15,MX,2021-01-10 05:13:13
66,Ilabaya,-17.4208,-70.5133,64.65,68,54,1.97,PE,2021-01-10 05:13:13
67,Albany,42.6001,-73.9662,25.0,57,87,5.79,US,2021-01-10 05:08:57
68,Souillac,-20.5167,57.5167,80.6,89,75,9.22,MU,2021-01-10 05:13:14
69,Santa Maria,-29.6842,-53.8069,70.23,72,6,1.77,BR,2021-01-10 05:10:40
70,Tazovskiy,67.4667,78.7,-26.05,85,0,8.95,RU,2021-01-10 05:13:14
71,Ribeira Grande,38.5167,-28.7,59.99,74,100,17.52,PT,2021-01-10 05:13:14
72,Kapaa,22.0752,-159.319,73.4,88,75,13.8,US,2021-01-10 05:13:14
73,Sao Joao Da Barra,-21.6403,-41.0511,76.42,89,98,13.58,BR,2021-01-10 05:13:14
74,San Policarpo,12.1791,125.5072,79.5,87,100,21.65,PH,2021-01-10 05:13:14
75,Port Alfred,-33.5906,26.891,71.01,81,13,5.01,ZA,2021-01-10 05:13:14
76,Hithadhoo,-0.6,73.0833,81.39,75,100,12.19,MV,2021-01-10 05:13:15
77,Riyadh,24.6877,46.7219,55.4,71,0,2.3,SA,2021-01-10 05:10:07
